Serial No.,Brandname,Country,PRODUCT URL,Type,IMAGE URL,TITLE OF PRODUCT,PRICE Local,Local,Discount,Price USD,Description
12,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-millard-black-regular-jeans-8905409009604-black.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/3/w32508w2201z_1.jpg,Wrangler Millard Black Regular Jeans,2399,INR,,,"Enjoy the rough and tumble of quality denim with this stunning pair of black jeans from the house of Wrangler. Masterfully tailored in premium stretch fabric for superb flexibility, comfort and endurance, their slim fit with a low rise design is engineered on modern fashion trends."
13,WRANGLER,INDIA,https://www.wrangler.in/catalog/product/view/id/2358/s/wrangler-skanders-blue--slim-jeans-8905409009239_blue/category/121/,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/2/w29250w2298b_1.jpg,Wrangler Skanders Blue  Slim Jeans,2599,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of blue jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort and endurance, their regular fit design affords them a classic, relaxed look."
14,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-millard-blue-solid-regular-fit-jeans-8905409179833-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000960_1.jpg,Wrangler Millard Blue Solid Regular Fit Jeans,1399,INR,2100,,"Pamper yourself with this awesome pair of soft yet tough blue jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their regular fit design assigns them a classic, relaxed style. Best paired with a polo t-shirt and sneakers."
15,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-slim-grey-skanders-jeans-8905409009246-grey.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/3/w32505w2298b_1.jpg,Wrangler Men Slim Grey Skanders Jeans,2799,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort, and endurance, their regular fit design affords them a classic, relaxed look."
16,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-bostin-crop-indigo-vintage-slim-fit-jeans-8905409180051-indigo-vintage.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn002123_1.jpg,WRANGLER Men Bostin Crop Indigo Vintage Slim Fit Jeans,2999,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of blue jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort and endurance, their regular fit design affords them a classic, relaxed look."
17,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-bostin-blue-moon-slim-fit-jeans-8905409179338-blue-moon.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000936_1.jpg,WRANGLER Men Bostin Blue Moon Slim Fit Jeans,4299,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of blue jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort and endurance, their regular fit design affords them a classic, relaxed look."
18,WRANGLER,INDIA,https://www.wrangler.in/catalog/product/view/id/9913/s/wrangler-vegas-blue--skinny-jeans-8905409008591_blue/category/121/,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/3/w32501w22944_1.jpg,Wrangler Vegas Blue  Skinny Jeans,2599,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of blue jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort and endurance, their regular fit design affords them a classic, relaxed look."
19,WRANGLER,INDIA,https://www.wrangler.in/catalog/product/view/id/9893/s/wrangler-millard-blue--regular-jeans-8905409009871_blue/category/121/,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/2/w21626w22990_1.jpg,Wrangler Millard Blue  Regular Jeans,2599,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of blue jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort and endurance, their regular fit design affords them a classic, relaxed look."
20,WRANGLER,INDIA,https://www.wrangler.in/catalog/product/view/id/9882/s/wrangler-texas-blue--comfort-jeans-8905409010297_blue/category/121/,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/2/w21624w2298b_1.jpg,Wrangler Texas Blue  Comfort Jeans,2399,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of blue jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort and endurance, their regular fit design affords them a classic, relaxed look."
21,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-skanders-black-rinse-slim-fit-jeans-8905409287316-black-rinse.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn003251_1.jpg,Wrangler Men Skanders Black Rinse Slim Fit Jeans,2699,INR,,,"If you're looking for modern casual wear, this pair of black jeans are just the thing. It's cut from high-performance Japanese denim with a hint of stretch to lend comfort and modern touch to your look. A cropped silhouette, cropped legs, belt loops, and a zipper fly at the back complete the look."
