Serial No.,Brandname,Country,PRODUCT URL,Type,IMAGE URL,TITLE OF PRODUCT,PRICE Local,Local,Discount,Price USD,Description
44,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-black-slim-fit-jeans-8905409178379-black.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn002148_1.jpg,Wrangler Skanders Black Slim Fit Jeans,3299,INR,,,Black tracker jeans in slim cropped.Wradrobe essential for any ocassion.
45,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-vegas-blue-skinny-fit-jeans-8905409176290-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn002147_1.jpg,Wrangler Vegas Blue Skinny Fit Jeans,1399,INR,2100,,Vintage tint in classsic skinny fit.Step out in authentic style with worn out aesthetic.
46,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-vegas-mystic-indigo-skinny-fit-jeans-8905409179031-mystic-indigo.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000965_1.jpg,Wrangler Vegas Mystic Indigo Skinny Fit Jeans,1599,INR,2400,,"The iconic Wrangler brings you a soft yet tough companion with this awesome pair of mystic indigo jeans from its latest collection.  Artfully tailored in premium strech denim for an unmatched combination of flexibility, comfort and endurance. Best paired with a crew neck t-shirt and sneakers."
47,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-dark-grey-solid-slim-fit-jeans-8905409175835-dark-grey.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000982_1.jpg,Wrangler Skanders Dark Grey Solid Slim Fit Jeans,4299,INR,,,"Pamper yourself with this awesome pair of soft yet tough dark grey jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their slim fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
48,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-vegas-blue-solid-skinny-fit-jeans-8905409175279-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000941_1.jpg,Wrangler Vegas Blue Solid Skinny Fit Jeans,1599,INR,2400,,"Pamper yourself with this awesome pair of soft yet tough blue jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their skinny fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
49,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-blue-solid-slim-fit-jeans-8905409179901-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000919_1.jpg,Wrangler Skanders Blue Solid Slim Fit Jeans,2999,INR,,,"Pamper yourself with this awesome pair of soft yet tough blue jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their slim fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
50,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-regular-light-grey-millard-jeans-8905409010204-grey.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/3/w32509w2298b_1.jpg,Wrangler Men Regular Light Grey Millard Jeans,2999,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort, and endurance, their regular fit design affords them a classic, relaxed look."
51,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-blue-slim-fit-jeans-8905409175491-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn002133_1.jpg,Wrangler Skanders Blue Slim Fit Jeans,3999,INR,,,"Classic traveller jeans for that explorer in you.Sweat pants inside, Jeans outside.crafted with rich indigo knit in slim fit."
52,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-bostin-cropped-blue-slim-fit-jeans-8905409176535-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn002132_1.jpg,Wrangler Bostin Cropped Blue Slim Fit Jeans,3699,INR,,,Crafted with recycled cotton and responsible finishes.Gentle on environment with less water and chemical.Mid blue in straight cropped fit.
53,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-vegas-black-skinny-jeans-8905409008515-black.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/3/w30774w2201z_1.jpg,Wrangler Vegas Black Skinny Jeans,2199,INR,,,"Enjoy the rough and tumble of quality denim with this stunning pair of black jeans from the house of Wrangler. Masterfully tailored in premium stretch fabric for superb flexibility, comfort and endurance, their slim fit with a low rise design is engineered on modern fashion trends."
54,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-millard-worker-blue-regular-fit-jeans-8905409176795-worker-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn002146_1.jpg,Wrangler Millard Worker Blue Regular Fit Jeans,1479,INR,2220,,"The iconic Wrangler brings you a soft yet tough companion with this awesome pair of worker blue jeans from its latest collection.  Artfully tailored in premium strech denim for an unmatched combination of flexibility, comfort and endurance. Best paired with a crew neck t-shirt and sneakers."
55,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-black-solid-slim-fit-jeans-8905409178942-black.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000956_1.jpg,Wrangler Skanders Black Solid Slim Fit Jeans,1879,INR,2820,,"Pamper yourself with this awesome pair of soft yet tough black jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their slim fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
56,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-bostin-black-solid-slim-fit-jeans-8905409178553-black.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000955_1.jpg,Wrangler Bostin Black Solid Slim Fit Jeans,1719,INR,2580,,"Pamper yourself with this awesome pair of soft yet tough black jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their slim fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
57,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-blue-solid-slim-fit-jeans-8905409176382-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000935_1.jpg,Wrangler Skanders Blue Solid Slim Fit Jeans,3699,INR,,,"Pamper yourself with this awesome pair of soft yet tough blue jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their slim fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
58,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-comfort-mid-stone-texas-jeans-8905409010402-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/2/w21596w2283g_1.jpg,Wrangler Men Comfort Mid Stone Texas Jeans,2399,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort, and endurance, their regular fit design affords them a classic, relaxed look."
59,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-redding-fresh-blue-comfort-fit-jeans-8905409286272-fresh-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn003307_1.jpg,Wrangler Men Redding Fresh Blue Comfort Fit Jeans,3599,INR,,,Wrangler's fresh blue jeans are made in soft denim with a subtle fading and whiskering to create a distinctive look. The incredibly-smooth denim construction allows day-long comfort to your skin.
60,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-bostin-midnight-blue-slim-fit-jeans-8905409284193-midnight-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn003225_1.jpg,Wrangler Men Bostin Midnight Blue Slim Fit Jeans,3599,INR,,,This midnight blue denim is cut from soft cotton denim; these jeans are detailed with traditional five pockets. Wear yours with a plain casual shirt and leather boots for a look that's smart and casual.
61,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-blue-slim-fit-jeans-8905409009482-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/3/w31838w2283g_1.jpg,Wrangler Skanders Blue Slim Fit Jeans,1399,INR,1400,,"Enjoy the true pleasure of authentic denim with this tough pair of blue jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort and endurance, their regular fit design affords them a classic, relaxed look."
62,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-blue-slim-fit-jeans-8905409180297-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000968_1.jpg,Wrangler Skanders Blue Slim Fit Jeans,4299,INR,,,"Classic traveller jeans for that explorer in you.Sweat pants inside, Jeans outside."
63,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-blue-slim-fit-jeans-8905409008959-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/3/w30772w2298b_1.jpg,Wrangler Skanders Blue Slim Fit Jeans,1099,INR,1100,,"Enjoy the true pleasure of authentic denim with this tough pair of blue jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort and endurance, their regular fit design affords them a classic, relaxed look."
64,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-regular-fit-dark-blue-texas-jeans-8905409084953-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/3/w38654w22990_1.jpg,Wrangler Men Regular Fit  Dark Blue Texas Jeans,1159,INR,1740,,"Enjoy the true pleasure of authentic denim with this tough pair of dark blue jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort and endurance, their regular fit design affords them a classic, relaxed look. Paired best with a polo t-shirt or a check shirt."
65,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-blue-solid-slim-fit-jeans-8905409175194-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000942_1.jpg,Wrangler Skanders Blue Solid Slim Fit Jeans,1599,INR,2400,,"Pamper yourself with this awesome pair of soft yet tough blue jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their slim fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
66,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-skinny-mid-stone-vegas-jeans-8905409008805-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/2/w28985w2283g_1.jpg,Wrangler Men Skinny Mid Stone Vegas Jeans,2999,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort, and endurance, their regular fit design affords them a classic, relaxed look."
67,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-millard-dark-indigo-regular-fit-jeans-8905409290835-dark-indigo.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn003327_1.jpg,Wrangler Men Millard Dark Indigo Regular Fit Jeans,3299,INR,,,These dark indigo denim jeans are cut in a classic five-pocket design with button fly and belt loops. A classic four-pocket design is completed with a slightly cropped length that offers flexibility and comfort.
68,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-skanders-indigo-gaze-slim-fit-jeans-8905409289235-indigo-gaze.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn003295_1.jpg,Wrangler Men Skanders Indigo Gaze Slim Fit Jeans,3999,INR,,,"A relaxed fit means that this pair of indigo gaze jeans is versatile enough for dressing up. From your early morning walk to Sunday brunch with your family, these jeans are crafted from breathable cotton indigo with a hint of stretch for a comfortable fit."
69,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-skanders-tinted-blue-slim-fit-jeans-8905409288757-tinted-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn003226_1.jpg,Wrangler Men Skanders Tinted Blue Slim Fit Jeans,3599,INR,,,These tinted blue jeans are made of heavyweight dark wash denim that holds a slight irregulates from all-washed denim. This one is easy to style and can easily go through every occasion.
70,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-skanders-tinted-blue-slim-fit-jeans-8905409289877-tinted-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn003224_1.jpg,Wrangler Men Skanders Tinted Blue Slim Fit Jeans,3799,INR,,,A versatile pair of tinted blue denim is a wardrobe essential for your closet. You'll love the versatile style with everyday wear.
71,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-vegas-blue-gaze-skinny-fit-jeans-8905409286111-blue-gaze.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn003296_1.jpg,Wrangler Men Vegas Blue Gaze Skinny Fit Jeans,4499,INR,,,Wrangler's new blue gaze jeans are a vintage-inspired classic in a modernized silhouette. Pair them with chunky knit tops for a relaxed feel or layered under a hoodie for a casual vibe.
72,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-millard-tinted-blue-regular-fit-jeans-8905409284438-tinted-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn003256_1.jpg,Wrangler Men Millard Tinted Blue Regular Fit Jeans,3299,INR,,,"This casual regular tinted blue denim adds an extra dose of style to your casual closet with these tinted blue jeans. They're designed with a light fade, ripped-reflective patch pockets, and five pockets to keep your essentials organized."
73,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-black-slim-jeans-8905409009147-black.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/2/w29249w2201z_1.jpg,Wrangler Skanders Black Slim Jeans,1299,INR,1300,,"Enjoy the rough and tumble of quality denim with this stunning pair of black jeans from the house of Wrangler. Masterfully tailored in premium stretch fabric for superb flexibility, comfort and endurance, their slim fit with a low rise design is engineered on modern fashion trends."
74,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-vegas-blue-solid-skinny-fit-jeans-8905409003916-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/3/w34570w22990_1.jpg,Wrangler Vegas Blue Solid Skinny Fit Jeans,1479,INR,2220,,"Enjoy the rough and tumble of quality denim with this stunning pair of light wash jeans from the house of Wrangler. Masterfully tailored in premium stretch fabric for superb flexibility, comfort and endurance, their skinny fit with a low rise design is engineered on modern fashion trends. Pairs stylishly with some nice sneakers."
75,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-grey-solid-slim-fit-jeans-8905409084465-grey.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/3/w38650w22990_1.jpg,Wrangler Skanders Grey Solid Slim Fit Jeans,1319,INR,1980,,"Enjoy the true pleasure of authentic denim with this tough pair of grey jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort and endurance, their slim fit design affords them a trendy, snug look. Paired best with a polo t-shirt or a check shirt."
76,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-comfort-dark-stone-texas-jeans-8905409010525-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/3/w32510w22990_1.jpg,Wrangler Men Comfort Dark Stone Texas Jeans,2799,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort, and endurance, their regular fit design affords them a classic, relaxed look."
77,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-comfort-mid-stone-texas-jeans-8905409010396-mid-stone.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/2/w21596w2283g_1.jpg,Wrangler Men Comfort Mid Stone Texas Jeans,2399,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort, and endurance, their regular fit design affords them a classic, relaxed look."
